Date,Open,High,Low,Close,Volume
10/25/2024,"32.26","32.47","31.93","32.09","49,229"
10/24/2024,"32.33","32.40","31.71","32.11","89,163"
10/23/2024,"31.91","32.34","31.75","32.29","67,349"
10/22/2024,"31.87","32.05","31.74","32.00","128,800"
10/21/2024,"32.26","32.40","31.86","32.09","52,714"
10/18/2024,"32.40","32.74","32.06","32.35","75,361"
10/17/2024,"31.52","32.36","31.50","32.35","83,032"
10/16/2024,"31.33","31.61","31.15","31.46","74,521"
10/15/2024,"30.90","31.26","30.80","31.01","52,358"
10/14/2024,"30.81","30.99","30.60","30.86","28,959"
10/11/2024,"30.66","31.11","30.45","30.84","38,676"
10/10/2024,"30.15","30.86","30.15","30.67","66,682"
10/09/2024,"30.81","31.03","30.35","30.35","71,185"
10/08/2024,"31.40","31.40","30.63","30.68","133,338"
10/07/2024,"31.73","31.84","31.11","31.20","70,620"
10/04/2024,"32.12","32.13","31.60","31.92","48,814"
10/03/2024,"32.17","32.24","31.65","31.71","54,779"
10/02/2024,"32.66","32.72","32.39","32.43","50,201"
10/01/2024,"32.61","32.88","32.36","32.75","71,239"
